business_name,city,postcode,website,phone,email,google_maps_url,notes,status
Fancy Floors,Ashford,TW15 1RP,https://www.fancyfloors.co.uk/,+441784 420230,,https://www.google.com/maps/search/?api=1&query=Fancy%20Floors%20TW15%201RP,Source: OpenStreetMap (Overpass); shop=flooring,new
Staines Flooring,London,,,+44 1784 558009,,https://www.google.com/maps/search/?api=1&query=Staines%20Flooring%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
ANA Carpets,Ashford,TW15 2BE,https://www.anacarpets.uk/,+44 1784 557720,,https://www.google.com/maps/search/?api=1&query=ANA%20Carpets%20TW15%202BE,Source: OpenStreetMap (Overpass); shop=carpet,new
The Carpetstore,London,W12 8HJ,https://www.thecarpetstore.info/,+44 20 8749 9340,,https://www.google.com/maps/search/?api=1&query=The%20Carpetstore%20W12%208HJ,Source: OpenStreetMap (Overpass); shop=carpet,new
The Carpet Gallery,Staines-upon-Thames,TW18 1BB,,+44 1784 461635,,https://www.google.com/maps/search/?api=1&query=The%20Carpet%20Gallery%20TW18%201BB,Source: OpenStreetMap (Overpass); shop=carpet,new
A.B.R. Carpets,London,NW1 8AF,,+44 20 7482 4355,,https://www.google.com/maps/search/?api=1&query=A.B.R.%20Carpets%20NW1%208AF,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,London,,https://www.carpet-right.co.uk/stores/clapham-common-carpetright,+44 20 3978 7290,,https://www.google.com/maps/search/?api=1&query=Carpetright%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Krystal Carpets,London,E15 1SE,,+44 20 8555 7382,,https://www.google.com/maps/search/?api=1&query=Krystal%20Carpets%20E15%201SE,Source: OpenStreetMap (Overpass); shop=carpet,new
Jt Flooring,Chigwell,IG7 4DJ,http://www.jtfloorings.co.uk/,+44 20 8500 7789,,https://www.google.com/maps/search/?api=1&query=Jt%20Flooring%20IG7%204DJ,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,SE6 2XA,https://www.tapi.co.uk/stores/catford,+44 20 3869 2740,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20SE6%202XA,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/south-ruislip,+44 1895 320880,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Sahrai Milano,London,,https://www.sahrai.com/,+44 20 3887 4589,,https://www.google.com/maps/search/?api=1&query=Sahrai%20Milano%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
FairFax Flooring,London,NW6 4EL,,+44 20 7693 5775,,https://www.google.com/maps/search/?api=1&query=FairFax%20Flooring%20NW6%204EL,Source: OpenStreetMap (Overpass); shop=flooring,new
Yazdan Supplier,London,E11 4HH,,+44 20 8555 1833,,https://www.google.com/maps/search/?api=1&query=Yazdan%20Supplier%20E11%204HH,Source: OpenStreetMap (Overpass); shop=carpet,new
C. John,London,,https://www.cjohn.com/,,,https://www.google.com/maps/search/?api=1&query=C.%20John%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
House Of Carpets & Curtains Ltd,London,SE26 5EX,https://houseofcarpetsandcurtains.co.uk/,+44 20 8778 8534; +44 20 8776 8456,info@houseofcarpetsandcurtains.co.uk,https://www.google.com/maps/search/?api=1&query=House%20Of%20Carpets%20%26%20Curtains%20Ltd%20SE26%205EX,Source: OpenStreetMap (Overpass); shop=carpet; facebook listed,new
Town & Country Carpets,Carshalton,SM5 3RL,http://www.townandcountrycarpets.co,,,https://www.google.com/maps/search/?api=1&query=Town%20%26%20Country%20Carpets%20SM5%203RL,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/eltham,+44 20 3763 3850,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Kasra Carpets,London,,,+44 20 7424 0318,,https://www.google.com/maps/search/?api=1&query=Kasra%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,London,,https://www.carpet-right.co.uk/stores/epsom-carpetright,+44 1372 423070,,https://www.google.com/maps/search/?api=1&query=Carpetright%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Best Floorings,London,,http://bestfloorings.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Best%20Floorings%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Aaron Nejad,London,,https://www.aaronnejad.com/,,,https://www.google.com/maps/search/?api=1&query=Aaron%20Nejad%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Hani Wells Flooring,London,,https://www.haniwellsflooring.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Hani%20Wells%20Flooring%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
The Flooring Company,London,,https://flooringco.co.uk/,,,https://www.google.com/maps/search/?api=1&query=The%20Flooring%20Company%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Mr Carpet,London,,http://www.mr-carpet.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Mr%20Carpet%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Al Manzil Carpets,London,,http://www.almanzilfurniture.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Al%20Manzil%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Rosewood Gallery,London,,,+44 20 7262 2652,,https://www.google.com/maps/search/?api=1&query=Rosewood%20Gallery%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Oak N Wool,London,,,+44 20 3802 2074,,https://www.google.com/maps/search/?api=1&query=Oak%20N%20Wool%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Crucial Trading,London,,https://www.crucial-trading.com/,+44 20 7221 9000,,https://www.google.com/maps/search/?api=1&query=Crucial%20Trading%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Sinclair Till,London,,https://www.sinclairtill.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Sinclair%20Till%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Simply Flooring Hornchurch,Hornchurch,RM12 6JU,https://simplyflooringcontracts.com/,,,https://www.google.com/maps/search/?api=1&query=Simply%20Flooring%20Hornchurch%20RM12%206JU,Source: OpenStreetMap (Overpass); shop=flooring,new
Treehouse,London,,http://www.treehouseflooring.co.uk/,+44 20 7460 0376,,https://www.google.com/maps/search/?api=1&query=Treehouse%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Rug Couture,London,,https://www.rugcouture.com/,+44 845 071 9303,,https://www.google.com/maps/search/?api=1&query=Rug%20Couture%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
MasCarpet Flooring ltd,London,,http://mascarpetflooringltd.com/,+44 7935 901464,,https://www.google.com/maps/search/?api=1&query=MasCarpet%20Flooring%20ltd%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
The Rug Company,London,,https://uk.therugcompany.com/london-holland-park/,+44 20 3369 3915,,https://www.google.com/maps/search/?api=1&query=The%20Rug%20Company%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Oak Artísans,London,,https://oakartisans.co.uk/,+44 20 7243 4433,,https://www.google.com/maps/search/?api=1&query=Oak%20Art%C3%ADsans%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Sanaiy Carpets,London,,https://sanaiycarpets.co.uk/,+44 20 7730 4742,,https://www.google.com/maps/search/?api=1&query=Sanaiy%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
The Kensington Flooring Co,London,,https://www.theflooringgroup.co.uk/flooring-kensington/,+44 20 3887 7888,,https://www.google.com/maps/search/?api=1&query=The%20Kensington%20Flooring%20Co%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Walking on Wood,London,,https://www.walkingonwood.com/,+44 20 7460 0260,,https://www.google.com/maps/search/?api=1&query=Walking%20on%20Wood%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
MW Flooring,London,SE6 3BT,https://www.mwflooring.net,+44 20 8778 4404,flooring@mwflooring.net,https://www.google.com/maps/search/?api=1&query=MW%20Flooring%20SE6%203BT,Source: OpenStreetMap (Overpass); craft=floorer,new
Natural Wood Designs,London,,http://www.naturalwooddesigns.co.uk/,+44 20 7835 1349,,https://www.google.com/maps/search/?api=1&query=Natural%20Wood%20Designs%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Columbia Flooring,London,EN3 7TY,https://columbiaflooring.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Columbia%20Flooring%20EN3%207TY,Source: OpenStreetMap (Overpass); shop=flooring,new
Yours 4 Floors,London,N13 4TN,https://yours4floors.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Yours%204%20Floors%20N13%204TN,Source: OpenStreetMap (Overpass); shop=flooring,new
Mayfair Carpet,London,,http://www.mayfaircarpetgallery.co.uk/,+44 20 7584 4442,,https://www.google.com/maps/search/?api=1&query=Mayfair%20Carpet%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Knightsbridge Flooring Company,London,,https://www.theflooringgroup.co.uk/,+44 20 3887 7654,,https://www.google.com/maps/search/?api=1&query=Knightsbridge%20Flooring%20Company%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Chelsea Carpets,London,,http://www.chelseacarpet.co.uk/newweb/index.php,+44 20 7751 5557,,https://www.google.com/maps/search/?api=1&query=Chelsea%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Brompton Carpets,London,,https://www.bromptoncarpets.co.uk/,+44 20 7352 5111,,https://www.google.com/maps/search/?api=1&query=Brompton%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Les Manufactures CATRY,London,,,+44 20 7352 7551,,https://www.google.com/maps/search/?api=1&query=Les%20Manufactures%20CATRY%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Stepevi,London,,http://www.stepevi.com/en,+44 20 7376 7574,,https://www.google.com/maps/search/?api=1&query=Stepevi%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Robert Stephenson,London,,https://www.robertstephenson.co.uk/,+44 20 7225 2343,,https://www.google.com/maps/search/?api=1&query=Robert%20Stephenson%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Resintek Services,Watford,WD18 7EN,https://www.resintekservices.co.uk/,+44 1923 601866,,https://www.google.com/maps/search/?api=1&query=Resintek%20Services%20WD18%207EN,Source: OpenStreetMap (Overpass); craft=floorer,new
Fresh Start Carpet and Flooring,London,,,+44 20 8579 6500,,https://www.google.com/maps/search/?api=1&query=Fresh%20Start%20Carpet%20and%20Flooring%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Shiraz,London,,,+44 20 7349 7170,,https://www.google.com/maps/search/?api=1&query=Shiraz%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Hammersmith Carpet & Furniture,London,,,+44 20 8749 6798,,https://www.google.com/maps/search/?api=1&query=Hammersmith%20Carpet%20%26%20Furniture%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
FloorMasters,London,,https://www.floormastersonline.co.uk/,+44 20 8749 8101,,https://www.google.com/maps/search/?api=1&query=FloorMasters%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,London,,https://www.tapi.co.uk/stores/tooting,+44 20 3818 0700,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Macey's Rugs,London,,https://www.saamaantradingltd.com,+44 20 8579 0404,,https://www.google.com/maps/search/?api=1&query=Macey%27s%20Rugs%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
London Carpets,London,W11 4ST,https://www.london-carpets.org.uk/,+44 20 7602 7710,,https://www.google.com/maps/search/?api=1&query=London%20Carpets%20W11%204ST,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,Orpington,BR5 3RP,https://www.tapi.co.uk/stores/orpington,+44 1689 667110,,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20BR5%203RP,Source: OpenStreetMap (Overpass); shop=carpet,new
Flooring Superstore,London,,https://www.flooringsuperstore.com,,,https://www.google.com/maps/search/?api=1&query=Flooring%20Superstore%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
1to1 Flooring,London,,https://1to1flooring.co.uk,+44 20 8344 2455,,https://www.google.com/maps/search/?api=1&query=1to1%20Flooring%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Freestyle Flooring,West Kingsdown,TN15 6JP,https://www.freestyleflooring.co.uk/,+44 1474 853 767,sales@freestyleflooring.co.uk,https://www.google.com/maps/search/?api=1&query=Freestyle%20Flooring%20TN15%206JP,Source: OpenStreetMap (Overpass); craft=floorer,new
Tapi Carpets,London,SE7 7TZ,https://www.tapi.co.uk/stores/charlton,+44 20 3959 2040,charlton@tapi.co.uk,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20SE7%207TZ,Source: OpenStreetMap (Overpass); shop=carpet,new
Sophie Cooney Runners,London,,https://www.sophiecooney.co.uk/,+44 20 7898 3377,,https://www.google.com/maps/search/?api=1&query=Sophie%20Cooney%20Runners%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Floor Sanding London Company - Wooden Flooring Experts Ltd,London,,https://woodenflooringexperts.co.uk/,+44 20 8089 9076,,https://www.google.com/maps/search/?api=1&query=Floor%20Sanding%20London%20Company%20-%20Wooden%20Flooring%20Experts%20Ltd%20London,Source: OpenStreetMap (Overpass); craft=floorer,new
Carpet Class,London,,https://www.carpetclass.co.uk,+44 20 8579 0497,,https://www.google.com/maps/search/?api=1&query=Carpet%20Class%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
BR Flooring,Orpington,BR5 1EG,https://www.br-flooring.co.uk/,,,https://www.google.com/maps/search/?api=1&query=BR%20Flooring%20BR5%201EG,Source: OpenStreetMap (Overpass); shop=flooring,new
Carpetright,London,,https://www.carpet-right.co.uk/stores/west-wickham-carpetright,+44 20 3955 9690,,https://www.google.com/maps/search/?api=1&query=Carpetright%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
FDS Floor Design Studio,London,,,+44 20 8776 1362,,https://www.google.com/maps/search/?api=1&query=FDS%20Floor%20Design%20Studio%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Carpet World,London,,,+44 20 8916 9100,,https://www.google.com/maps/search/?api=1&query=Carpet%20World%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Brocklehurst Carpets & Flooring,London,N10 3QN,https://www.brocklehurstltd.com,+44 20 8883 6010,n10@brocklehurstltd.com,https://www.google.com/maps/search/?api=1&query=Brocklehurst%20Carpets%20%26%20Flooring%20N10%203QN,Source: OpenStreetMap (Overpass); shop=carpet,new
Plashet Carpets,London,E13 8AA,https://www.plashetcarpets.co.uk,,,https://www.google.com/maps/search/?api=1&query=Plashet%20Carpets%20E13%208AA,Source: OpenStreetMap (Overpass); shop=carpet,new
Lordship Flooring,London,SE3 0BD,https://lordshipflooring.com/,,blackheath@lordshipflooring.com,https://www.google.com/maps/search/?api=1&query=Lordship%20Flooring%20SE3%200BD,Source: OpenStreetMap (Overpass); shop=flooring; facebook listed,new
Safa Carpet Flooring & Rugs,London,N12 9QY,https://safaonline.co.uk,+44 20 3441 8440,,https://www.google.com/maps/search/?api=1&query=Safa%20Carpet%20Flooring%20%26%20Rugs%20N12%209QY,Source: OpenStreetMap (Overpass); shop=carpet,new
Star Carpet & Flooring,London,E6 1ER,http://starcarpets.uk.com,,,https://www.google.com/maps/search/?api=1&query=Star%20Carpet%20%26%20Flooring%20E6%201ER,Source: OpenStreetMap (Overpass); shop=carpet,new
Bridge Flooring,London,,,+44 20 8505 8280,,https://www.google.com/maps/search/?api=1&query=Bridge%20Flooring%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Dourof's Carpet Warehouse,London,,,+44 20 8314 1999,,https://www.google.com/maps/search/?api=1&query=Dourof%27s%20Carpet%20Warehouse%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Flooring,London,,,+44 20 8469 0100,,https://www.google.com/maps/search/?api=1&query=Flooring%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Top Flooring Ltd,Bushey,WD23 2FE,https://topflooringltd.co.uk,+44 7587 850604,info@topflooringltd.co.uk,https://www.google.com/maps/search/?api=1&query=Top%20Flooring%20Ltd%20WD23%202FE,Source: OpenStreetMap (Overpass); craft=floorer,new
B&R Carpet Company,London,NW6 1NB,,+44 2077 946725,,https://www.google.com/maps/search/?api=1&query=B%26R%20Carpet%20Company%20NW6%201NB,Source: OpenStreetMap (Overpass); shop=carpet,new
Shaw Contract,London,,https://www.shawcontract.com/,,,https://www.google.com/maps/search/?api=1&query=Shaw%20Contract%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Biggin Hill Carpets,"Biggin Hill, Westerham",TN16 3XZ,https://www.bigginhillcarpets.com/,+44 1959 577637,,https://www.google.com/maps/search/?api=1&query=Biggin%20Hill%20Carpets%20TN16%203XZ,Source: OpenStreetMap (Overpass); shop=carpet,new
AHK Flooring,London,W3 0BU,https://ahkflooring.co.uk/,+44 20 8127 0390,info@ahkflooring.co.uk,https://www.google.com/maps/search/?api=1&query=AHK%20Flooring%20W3%200BU,Source: OpenStreetMap (Overpass); shop=flooring,new
Porters,Weybridge,KT13 8AL,https://www.porterscarpet.co.uk/,+44 1932 821155,,https://www.google.com/maps/search/?api=1&query=Porters%20KT13%208AL,Source: OpenStreetMap (Overpass); shop=carpet,new
George Carpet,London,,,+44 20 8961 5144;+44 7466 510426,,https://www.google.com/maps/search/?api=1&query=George%20Carpet%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Planet Flooring,Ewell,KT19 0BT,,+44 20 8004 1240,,https://www.google.com/maps/search/?api=1&query=Planet%20Flooring%20KT19%200BT,Source: OpenStreetMap (Overpass); shop=flooring,new
Jubilee Carpets,London,,,+44 20 8965 7519,,https://www.google.com/maps/search/?api=1&query=Jubilee%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Rug Experts Gallery,Chertsey,KT16 9AH,https://www.rugexpertsgallery.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Rug%20Experts%20Gallery%20KT16%209AH,Source: OpenStreetMap (Overpass); shop=carpet,new
Hakiemie Rug Gallery,Weybridge,KT13 9HL,https://hakiemieruggallery.com,,,https://www.google.com/maps/search/?api=1&query=Hakiemie%20Rug%20Gallery%20KT13%209HL,Source: OpenStreetMap (Overpass); shop=carpet,new
Bazaar Velvet,Weybridge,KT13 9LB,https://bazaarvelvet.com,,,https://www.google.com/maps/search/?api=1&query=Bazaar%20Velvet%20KT13%209LB,Source: OpenStreetMap (Overpass); shop=carpet,new
UNIQ Floors,London,NW2 2JP,https://www.uniqfloors.co.uk/,,,https://www.google.com/maps/search/?api=1&query=UNIQ%20Floors%20NW2%202JP,Source: OpenStreetMap (Overpass); shop=carpet,new
Ashley Flooring Ltd,Walton-on-Thames,KT12 1RJ,https://www.ashleyflooringltd.co.uk/,+44 1932 252600,,https://www.google.com/maps/search/?api=1&query=Ashley%20Flooring%20Ltd%20KT12%201RJ,Source: OpenStreetMap (Overpass); shop=flooring,new
David Conran,Esher,KT10 9QJ,https://www.davidconran.co.uk/,+44 1372 467039,,https://www.google.com/maps/search/?api=1&query=David%20Conran%20KT10%209QJ,Source: OpenStreetMap (Overpass); shop=flooring,new
Webster Floors,Hersham,KT12 4RN,https://websterfloors.com/,+44 1932 267787,,https://www.google.com/maps/search/?api=1&query=Webster%20Floors%20KT12%204RN,Source: OpenStreetMap (Overpass); shop=flooring,new
A Flooring Boutique,London,SW12 9HA,https://www.aflooringboutique.co.uk/carpet-shop-in-balham/,+44 208 673 9900,,https://www.google.com/maps/search/?api=1&query=A%20Flooring%20Boutique%20SW12%209HA,Source: OpenStreetMap (Overpass); shop=carpet,new
H. Braggins,London,,,+44712283613,,https://www.google.com/maps/search/?api=1&query=H.%20Braggins%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Gants Hill Carpets,London,,https://gantshillcarpets.co.uk,+44 20 3337 9346,,https://www.google.com/maps/search/?api=1&query=Gants%20Hill%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpet Style,London,HA6 1LW,https://carpetstyle.com/,+44 1923 823118,sales@carpetstyle.com,https://www.google.com/maps/search/?api=1&query=Carpet%20Style%20HA6%201LW,Source: OpenStreetMap (Overpass); shop=carpet,new
Country Carpets,Walton-on-Thames,KT12 1AE,https://www.country-carpets.co.uk/,+44 1932 242423,,https://www.google.com/maps/search/?api=1&query=Country%20Carpets%20KT12%201AE,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,London,N20 9BS,https://www.carpet-right.co.uk/stores/whetstone-carpetright,+44 20 3989 8140,,https://www.google.com/maps/search/?api=1&query=Carpetright%20N20%209BS,Source: OpenStreetMap (Overpass); shop=carpet,new
Tapi Carpets,West Thurrock,RM20 1WN,https://www.tapi.co.uk/stores/thurrock,+44 1708 208420,thurrock@tapi.co.uk,https://www.google.com/maps/search/?api=1&query=Tapi%20Carpets%20RM20%201WN,Source: OpenStreetMap (Overpass); shop=carpet,new
Havwoods,London,,https://www.havwoods.com/,,,https://www.google.com/maps/search/?api=1&query=Havwoods%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Prestige Carpet,London,EN3 5JJ,http://prestigecarpetltd.co.uk/,,,https://www.google.com/maps/search/?api=1&query=Prestige%20Carpet%20EN3%205JJ,Source: OpenStreetMap (Overpass); shop=carpet,new
R&R Carpet Centre,London,EN3 7JU,https://www.randrcarpetsandflooring.co.uk/,,,https://www.google.com/maps/search/?api=1&query=R%26R%20Carpet%20Centre%20EN3%207JU,Source: OpenStreetMap (Overpass); shop=carpet,new
Opus Carpets Limited,London,W14 9PP,,+44 20 7385 3151,,https://www.google.com/maps/search/?api=1&query=Opus%20Carpets%20Limited%20W14%209PP,Source: OpenStreetMap (Overpass); shop=carpet,new
Boen,London,,https://boen.com/,,,https://www.google.com/maps/search/?api=1&query=Boen%20London,Source: OpenStreetMap (Overpass); shop=flooring,new
Carpetright,Croydon,CR0 4XG,https://www.carpet-right.co.uk/stores/croydon-carpetright,,,https://www.google.com/maps/search/?api=1&query=Carpetright%20CR0%204XG,Source: OpenStreetMap (Overpass); shop=carpet,new
Arte Floors,London,N1 3PF,,+44 20 7050 1155,,https://www.google.com/maps/search/?api=1&query=Arte%20Floors%20N1%203PF,Source: OpenStreetMap (Overpass); shop=carpet,new
Admiral Carpets,London,,,+44 20 7585 1155,,https://www.google.com/maps/search/?api=1&query=Admiral%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Capitol Carpets,London,,https://www.capitolcarpets.co.uk/,+44 20 7228 7167,,https://www.google.com/maps/search/?api=1&query=Capitol%20Carpets%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
Carpetright,New Malden,KT3 4RP,https://www.carpet-right.co.uk/stores/new-malden-carpetright,+44 20 3985 9830,,https://www.google.com/maps/search/?api=1&query=Carpetright%20KT3%204RP,Source: OpenStreetMap (Overpass); shop=carpet,new
ATS Carpet & Furniture Land,London,,,+44 20 8861 5800,,https://www.google.com/maps/search/?api=1&query=ATS%20Carpet%20%26%20Furniture%20Land%20London,Source: OpenStreetMap (Overpass); shop=carpet,new
ATS Carpets & Furniture,Wembley,,http://atscarpets.co.uk/,+44 20 8900 1643,,https://www.google.com/maps/search/?api=1&query=ATS%20Carpets%20%26%20Furniture%20Wembley,Source: OpenStreetMap (Overpass); shop=carpet,new
